Wavelength(nm)	Intensity
819.374	3763.48
819.412	3646.68
819.45	3534.78
819.488	3412.68
819.526	3200.48
819.564	3093.28
819.602	2956.98
819.64	2896.68
819.678	2835.38
819.715	2809.58
819.753	2857.48
819.791	2933.08
819.829	2920.68
819.867	3111.68
819.905	3244.88
819.943	3244.88
819.981	3286.68
820.019	3272.08
820.056	3146.88
820.094	3095.98
820.132	2990.98
820.17	2830.58
820.208	2638.18
820.246	2548.78
820.283	2452.98
820.321	2470.18
820.359	2392.28
820.397	2471.98
820.434	2478.88
820.472	2581.18
820.51	2567.28
820.548	2673.78
820.585	2671.08
820.623	2765.68
820.661	2707.98
820.698	2661.38
820.736	2489.08
820.774	2454.78
820.811	2331.38
820.849	2207.28
820.887	2196.68
820.924	2038.88
820.962	2002.68
820.999	1935.48
821.037	1966.98
821.075	1993.28
821.112	2066.08
821.15	2041.88
821.187	2124.98
821.225	2180.78
821.262	2114.78
821.3	2120.08
821.337	2065.78
821.375	2021.98
821.412	1923.68
821.45	1873.48
821.487	1786.38
821.525	1711.68
821.562	1662.88
821.6	1610.28
821.637	1579.08
821.675	1628.88
821.712	1584.58
821.749	1594.28
821.787	1577.48
821.824	1608.18
821.862	1653.68
821.899	1622.88
821.936	1622.68
821.974	1637.28
822.011	1607.38
822.048	1574.28
822.086	1491.88
822.123	1454.48
822.16	1477.28
822.197	1392.48
822.235	1381.98
822.272	1400.48
822.309	1400.98
822.346	1345.98
822.384	1397.68
822.421	1361.28
822.458	1470.78
822.495	1396.68
822.533	1388.88
822.57	1360.08
822.607	1351.88
822.644	1337.98
822.681	1286.28
822.718	1295.48
822.756	1316.68
822.793	1305.28
822.83	1254.98
822.867	1258.08
822.904	1268.88
822.941	1217.88
822.978	1211.08
823.015	1228.48
823.052	1207.88
823.089	1244.88
823.126	1230.08
823.163	1231.78
823.2	1238.48
823.237	1211.98
823.274	1142.98
823.311	1197.08
823.348	1132.18
823.385	1146.78
823.422	1108.58
823.459	1133.08
823.496	1117.18
823.533	1083.78
823.57	1041.98
823.607	1124.08
823.644	1091.78
823.681	1100.48
823.718	1082.78
823.754	1064.38
823.791	1086.68
823.828	1038.88
823.865	1040.78
823.902	1034.58
823.939	1006.38
823.975	1008.98
824.012	1026.08
824.049	1019.18
824.086	1041.58
824.123	1011.18
824.159	1044.28
824.196	999.98
824.233	1016.68
824.27	1025.68
824.306	960.58
824.343	1006.28
824.38	991.08
824.416	979.98
824.453	1000.58
824.49	1008.98
824.526	979.68
824.563	955.68
824.6	958.48
824.636	981.28
824.673	989.58
824.709	984.68
824.746	988.78
824.783	998.08
824.819	957.28
824.856	1003.78
824.892	996.28
824.929	969.88
824.965	956.88
825.002	984.78
825.039	1016.88
825.075	954.38
825.112	996.78
825.148	1004.28
825.184	1006.88
825.221	1006.78
825.257	1001.78
825.294	964.38
825.33	1029.28
825.367	1003.38
825.403	974.88
825.44	985.98
825.476	985.28
825.512	949.48
825.549	998.78
825.585	1018.18
825.621	976.18
825.658	1061.28
825.694	1002.38
825.73	1028.58
825.767	1035.98
825.803	1045.28
825.839	1063.88
825.876	1040.38
825.912	1060.38
825.948	1023.18
825.985	1053.88
826.021	1030.18
826.057	1006.08
826.093	1040.68
826.129	1013.98
826.166	1045.18
826.202	1023.68
826.238	1009.58
826.274	1018.28
826.31	1020.58
826.347	984.48
826.383	1043.38
