Wavelength(nm)	Intensity
823.274	1246.15
823.311	1145.25
823.348	1129.35
823.385	1153.95
823.422	1144.75
823.459	1181.25
823.496	1102.35
823.533	1122.95
823.57	1102.15
823.607	1209.25
823.644	1106.95
823.681	1053.65
823.718	1079.95
823.754	1082.55
823.791	1053.85
823.828	1058.05
823.865	1031.95
823.902	1080.75
823.939	1050.55
823.975	1043.15
824.012	1071.25
824.049	1052.35
824.086	1053.75
824.123	1064.35
824.159	979.45
824.196	1025.15
824.233	1002.85
824.27	1025.85
824.306	972.75
824.343	1005.45
824.38	988.25
824.416	990.15
824.453	984.75
824.49	981.15
824.526	950.85
824.563	980.85
824.6	989.65
824.636	977.45
824.673	986.75
824.709	1008.85
824.746	969.95
824.783	998.25
824.819	996.45
824.856	1001.95
824.892	980.45
824.929	992.05
824.965	984.05
825.002	999.95
825.039	988.05
825.075	996.55
825.112	1012.95
825.148	994.45
825.184	1020.05
825.221	1012.95
825.257	999.95
825.294	1003.55
825.33	1029.45
825.367	992.55
825.403	996.05
825.44	1040.15
825.476	1036.45
825.512	1006.65
825.549	1010.95
825.585	1030.35
825.621	967.35
825.658	1047.45
825.694	1020.55
825.73	1031.75
825.767	1031.15
825.803	1052.45
825.839	1032.05
825.876	1018.55
825.912	1006.55
825.948	1030.35
825.985	1020.05
826.021	1026.35
826.057	1011.25
826.093	1062.85
826.129	1029.15
826.166	980.35
826.202	1057.85
826.238	1010.75
826.274	1085.45
826.31	1056.75
826.347	1037.65
826.383	1077.55
826.419	1073.65
826.455	1058.75
826.491	1013.15
826.527	1024.45
826.563	1043.95
826.599	1030.05
826.636	998.95
826.672	1034.45
826.708	1039.65
826.744	1077.65
826.78	1023.85
826.816	1038.65
826.852	1001.25
826.888	1027.75
826.924	1041.25
826.96	1043.65
826.996	1032.25
827.032	1037.05
827.068	1043.25
827.104	1075.95
827.14	1024.25
827.176	1058.55
827.212	1059.65
827.247	1019.75
827.283	1022.25
827.319	1098.85
827.355	1083.25
827.391	1115.55
827.427	1116.45
827.463	1087.85
827.499	1074.05
827.534	1095.95
827.57	1095.25
827.606	1044.35
827.642	1091.95
827.678	1083.05
827.713	1106.85
827.749	1092.55
827.785	1105.35
827.821	1151.05
827.856	1104.55
827.892	1118.55
